x y
0 0.006
0.1 0.006
0.1 0.079
0.2 0.079
0.2 0.212
0.3 0.212
0.3 0.397
0.4 0.397
0.4 0.573
0.5 0.573
0.5 0.893
0.6 0.893
0.6 1.296
0.7 1.296
0.7 1.668
0.8 1.668
0.8 2.228
0.9 2.228
0.9 2.648
1 2.648
